# For Block IDs see http://minecraftwiki.net/wiki/Data_values
# Note that noise or alpha (or both) do not work for a few blocks like snow, torches, fences, steps, ...
# Actually, if you see any block has an alpha value of 254 you should leave it that way to prevent black artifacts.
# If you want to set alpha of grass to <255, use -blendall or you won't get what you expect.
# Noise is supposed to look normal using -noise 10
# Dyed wool ranges from ID 240 to 254, it's orange to black in the order described at http://www.minecraftwiki.net/wiki/Data_values#Wool
# half-steps of sand, wood and cobblestone are 233 to 235

#ID    R   G   B    A  Noise
 59  123 137  19  255    0
 60  111  74  46  255    0
 61  143 115  66  255    0
 62  143 115  66  255    0
 63  193 182 126  255    0
 64  117  88  62  255   11
 65  130 115  89   32    0
 66  102  98  92  180    0
 67  104  97  84  255   26
 68    0   0   0    0    0
 69    0   0   0    0    0
 70    0   0   0    0    0
 71  248 248 248  255    0
 72    0   0   0    0    0
 73  157  97  97  255    0
 74  157  97  97  255    0
 75  235 130  57  254    0
76  255   0   0  254    0
 77    0   0   0    0    0
 78  220 230 236  254    0
 79  144 192 220   55    0
 80  220 230 236  255    0
 81   54 101  15  255    0
 82  220 220 255  255    0
 83  123 150  67  255    0
 84  105  88  72  255    0
 85  104  83  36  255   11
 86  207 119   4  255   13
 87  117  48  48  255    2
 88   87  64  50  255    1
 89  139 113  60  255    7
 90   52   0 255  255   63
 91  190 134  13  255   18
 92  230 201 203  255    8
 93  151 147 147  255    2
 94  161 147 147  255    2
 95  125  91  38  255    0
 96  126  93  45  240    5
 97  128 128 128  255   16
 98  122 122 122  255    7
 99  141 106  83  255    0
100  182  37  36  255    6
101  109 108 106  254    6
102  255 255 255   40    0
103  151 153  36  255   10
104  115 170  73  254    0
105  115 170  73  254    0
106   51 130  36  180   12
107  137 112  65  225    0
108  208  93  66  255    0
109  122 122 122  255    7
110    0   0   0    0    0
111    0   0   0    0    0
112    0   0   0    0    0
113    0   0   0    0    0
114    0   0   0    0    0
115    0   0   0    0    0
116    0   0   0    0    0
117    0   0   0    0    0
118    0   0   0    0    0
119    0   0   0    0    0
120    0   0   0    0    0
121    0   0   0    0    0
122    0   0   0    0    0
123    0   0   0    0    0
124    0   0   0    0    0
125    0   0   0    0    0
126    0   0   0    0    0
127    0   0   0    0    0
128    0   0   0    0    0
129    0   0   0    0    0
130    0   0   0    0    0
131    0   0   0    0    0
132    0   0   0    0    0
133    0   0   0    0    0
134    0   0   0    0    0
135    0   0   0    0    0
136    0   0   0    0    0
137    0   0   0    0    0
138    0   0   0    0    0
139    0   0   0    0    0
140    0   0   0    0    0
141    0   0   0    0    0
142    0   0   0    0    0
143    0   0   0    0    0
144    0   0   0    0    0
145    0   0   0    0    0
146    0   0   0    0    0
147    0   0   0    0    0
148    0   0   0    0    0
149    0   0   0    0    0
150    0   0   0    0    0
151    0   0   0    0    0
152    0   0   0    0    0
153    0   0   0    0    0
154    0   0   0    0    0
155    0   0   0    0    0
156    0   0   0    0    0
157    0   0   0    0    0
158    0   0   0    0    0
159    0   0   0    0    0
160    0   0   0    0    0
161    0   0   0    0    0
162    0   0   0    0    0
163    0   0   0    0    0
164    0   0   0    0    0
165    0   0   0    0    0
166    0   0   0    0    0
167    0   0   0    0    0
168    0   0   0    0    0
169    0   0   0    0    0
170    0   0   0    0    0
171    0   0   0    0    0
172    0   0   0    0    0
173    0   0   0    0    0
174    0   0   0    0    0
175    0   0   0    0    0
176    0   0   0    0    0
177    0   0   0    0    0
178    0   0   0    0    0
179    0   0   0    0    0
180    0   0   0    0    0
181    0   0   0    0    0
182    0   0   0    0    0
183    0   0   0    0    0
184    0   0   0    0    0
185    0   0   0    0    0
186    0   0   0    0    0
187    0   0   0    0    0
188    0   0   0    0    0
189    0   0   0    0    0
190    0   0   0    0    0
191    0   0   0    0    0
192    0   0   0    0    0
193    0   0   0    0    0
194    0   0   0    0    0
195    0   0   0    0    0
196    0   0   0    0    0
197    0   0   0    0    0
198    0   0   0    0    0
199    0   0   0    0    0
200    0   0   0    0    0
201    0   0   0    0    0
202    0   0   0    0    0
203    0   0   0    0    0
204    0   0   0    0    0
205    0   0   0    0    0
206    0   0   0    0    0
207    0   0   0    0    0
208    0   0   0    0    0
209    0   0   0    0    0
210    0   0   0    0    0
211    0   0   0    0    0
212    0   0   0    0    0
213    0   0   0    0    0
214    0   0   0    0    0
215    0   0   0    0    0
216    0   0   0    0    0
217    0   0   0    0    0
218    0   0   0    0    0
219    0   0   0    0    0
220    0   0   0    0    0
221    0   0   0    0    0
222    0   0   0    0    0
223    0   0   0    0    0
224    0   0   0    0    0
225    0   0   0    0    0
226    0   0   0    0    0
227    0   0   0    0    0
228    0   0   0    0    0
229    0   0   0    0    0
230    0   0   0    0    0
231    0   0   0    0    0
232    0   0   0    0    0
233  165 156 102  255   14
234  107  75  37  255   11
235  106 101  87  255   26
236   44  84  44  160   20
237   85 124  60  170   11
238   70  50  32  255    0
239  206 206 201  255    5
240  244 137  54  255    0
241  200  75 210  255    0
242  120 158 241  255    0
243  204 200  28  255    0
244   59 210  47  255    0
245  237 141 164  255    0
246   76  76  76  255    0
247  168 172 172  255    0
248   39 116 149  255    0
249  133  53 195  255    0
250   38  51 160  255    0
251   85  51  27  255    0
252   55  77  24  255    0
253  173  44  40  255    0
254   32  27  27  255    0
